system,micro_f1,macro_f1,f1_sexism,f1_religious,secs
char25-SVC,0.6776,0.4724,0.0606,0.3586,11.5
char25-LR,0.6732,0.4616,0.0,0.3699,55.6
char36-LR,0.6682,0.4547,0.0,0.3624,67.5
char25-SVC-bal,0.668,0.5019,0.1154,0.4189,12.2
char14-SGD,0.6606,0.4499,0.0,0.3378,8.5
word-RF,0.5989,0.2318,0.0,0.0216,18.6
word-SVC,0.5919,0.3229,0.0625,0.2204,2.0
word-LR,0.5852,0.3087,0.0,0.2041,12.7
word-NB,0.522,0.325,0.0377,0.2635,1.0
word-LR-bal,0.4984,0.3408,0.0667,0.2966,12.2
